Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant819	N	Timeline1	P2Ca	1	P2Ca	i++	1241	207	75	350	6	16013	250	425	142	75	250	3	16013	250	1433	478	250	700	3	247082	250	1541	514	317	733	3	247015	317	2	15947	16263	151.84	245.65
Participant819	N	Timeline1	P2Ca	1	P2Ca	i<x;	5499	172	67	433	32	13880	233	4425	164	67	383	27	13880	233	6874	458	67	2258	15	244949	717	7233	482	83	2283	15	244916	750	11	14972	14597	152.43	89.12
Participant819	N	Timeline1	P2Ca	1	P2Ca	int i = 0;	4199	210	92	700	20	12514	92	3608	225	92	700	16	12789	175	4816	438	92	1608	11	243582	1142	5166	470	108	1633	11	243557	1167	7	12489	40086	130.82	134.77
Participant819	N	Timeline1	P2Ca	1	P2Ca	L01-F	12474	211	75	675	59	398	100	10166	212	75	675	48	398	100	14907	1242	75	4141	12	231467	4141	15340	1278	100	4200	12	231409	4200	36	340	4540	268.96	395.9
Participant819	N	Timeline1	P2Ca	1	P2Ca	L02-F	4600	159	83	392	29	4590	108	3108	155	83	392	20	4590	108	5874	587	92	2783	10	235658	2783	6241	624	92	2833	10	235608	2833	11	4540	7373	395.9	386.66
Participant819	N	Timeline1	P2Ca	1	P2Ca	L03-F	3839	226	83	825	17	7423	208	2691	245	83	825	11	7423	208	4689	938	267	1514	5	238491	1117	4872	974	300	1556	5	238441	1167	8	7373	36436	386.66	148.52
Participant819	N	Timeline1	P2Ca	1	P2Ca	L04-F	3908	206	67	483	19	8714	200	3383	226	108	483	15	8714	200	4450	636	67	3408	7	239783	3408	4583	655	67	3416	7	239775	3416	10	39519	54293	194.76	64.32
Participant819	N	Timeline1	P2Ca	1	P2Ca	L05-F	11990	187	67	700	64	232	108	8916	182	67	700	49	232	108	15415	856	83	5433	18	231300	108	15898	883	100	5499	18	231275	133	30	14972	340	152.43	268.96
Participant819	N	Timeline1	P2Ca	1	P2Ca	L06-F	6715	181	40	617	37	0	40	5241	175	75	417	30	22163	150	8106	405	40	1583	20	231069	40	8723	436	40	1633	20	231069	40	12	22113	23746	398.36	38.96
Participant819	N	Timeline1	P2Ca	1	P2Ca	L07-F	8216	191	67	542	43	24504	175	6191	172	67	383	36	24504	175	10507	808	108	2400	13	255573	2400	10849	835	125	2450	13	255523	2450	17	24454	35578	338.34	147.99
Participant819	N	Timeline1	P2Ca	1	P2Ca	L08-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca	1	P2Ca	L09-F	917	153	83	217	6	27196	158	917	153	83	217	6	27196	158	967	242	83	392	4	258264	392	1150	287	108	450	4	258206	450	2	27912	27587	86.78	94.55
Participant819	N	Timeline1	P2Ca	1	P2Ca	L10-F	1416	142	83	275	10	27612	125	1183	148	83	275	8	27612	125	3183	796	100	1783	4	258681	1017	3258	814	125	1808	4	258656	1042	4	27587	28629	94.55	65.86
Participant819	N	Timeline1	P2Ca	1	P2Ca	L11-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca	1	P2Ca	L12-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca	1	P2Ca	L13-F	2025	145	67	342	14	29220	342	1616	147	67	342	11	29220	342	3658	732	83	1233	5	260289	1233	3875	775	125	1300	5	260222	1300	3	29154	32953	182.96	30.33
Participant819	N	Timeline1	P2Ca	1	P2Ca	n-L02	667	167	92	300	4	6598	125	367	122	92	150	3	6598	125	858	286	92	467	3	237666	467	925	308	142	483	3	237650	483	0		7064		100.2
Participant819	N	Timeline1	P2Ca	1	P2Ca	n-L10a	750	150	117	200	5	27612	125	608	152	117	200	4	27612	125	758	190	117	300	4	258681	300	833	208	142	325	4	258656	325	1	27587	27912	94.55	86.78
Participant819	N	Timeline1	P2Ca	1	P2Ca	n-L10b	275	275	275	275	1	28354	275	275	275	275	275	1	28354	275	275	275	275	275	1	259423	275	292	292	292	292	1	259406	292	0	28337	28629	62.47	65.86
Participant819	N	Timeline1	P2Ca	1	P2Ca	n-L13	67	67	67	67	1	34670	67	67	67	67	67	1	34670	67	67	67	67	67	1	265739	67	83	83	83	83	1	265722	83	0				
