Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant100	Y	Timeline3	P1Sa+10s	1	P1Sa	i++	183	183	183	183	1	6544	183	183	183	183	183	1	6544	183	183	183	183	183	1	112387	183	208	208	208	208	1	112362	208	0	6519	6728	91.78	256.9
Participant100	Y	Timeline3	P1Sa+10s	1	P1Sa	i<x;	267	267	267	267	1	8519	267	267	267	267	267	1	8519	267	267	267	267	267	1	114362	267	283	283	283	283	1	114345	283	0				
Participant100	Y	Timeline3	P1Sa+10s	1	P1Sa	int i = 0;	375	187	108	267	2	3495	267	375	187	108	267	2	3495	267	375	187	108	267	2	109337	267	425	212	125	300	2	109304	300	0	3461	3761	117.63	38.91
Participant100	Y	Timeline3	P1Sa+10s	1	P1Sa	L01-F	917	229	92	425	4	195	208	917	229	92	425	4	195	208	958	319	92	675	3	106038	675	1067	356	117	725	3	105988	725	1	145	870	289.82	104.38
Participant100	Y	Timeline3	P1Sa+10s	1	P1Sa	L02-F	1158	193	108	267	6	3495	267	1158	193	108	267	6	3495	267	1233	308	200	425	4	109337	267	1317	329	225	442	4	109304	300	1	3461	3761	117.63	38.91
Participant100	Y	Timeline3	P1Sa+10s	1	P1Sa	L03-F	425	212	158	267	2	4303	158	425	212	158	267	2	4303	158	442	442	442	442	1	110146	442	458	458	458	458	1	110129	458	1		4744		307.42
Participant100	Y	Timeline3	P1Sa+10s	1	P1Sa	L04-F	1283	183	83	292	7	5011	258	1133	189	83	292	6	5011	258	1825	912	533	1292	2	110854	1292	1917	958	583	1333	2	110812	1333	2	4969		327.13	
Participant100	Y	Timeline3	P1Sa+10s	1	P1Sa	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P1Sa+10s	1	P1Sa	P1-Whole-F	5258	195	83	425	27	195	208	4883	195	83	425	25	195	208	6791	1698	442	4691	4	106038	675	6933	1733	467	4725	4	105988	725	14	145	870	289.82	104.38
Participant100	Y	Timeline3	P1Sa+10s	1	P1Sa	value-L03	158	158	158	158	1	4303	158	158	158	158	158	1	4303	158	158	158	158	158	1	110146	158	175	175	175	175	1	110129	175	0		4461		103.01
Participant100	Y	Timeline3	P1Sa+10s	1	P1Sa	value-L04	292	292	292	292	1	5686	292	292	292	292	292	1	5686	292	292	292	292	292	1	111529	292	333	333	333	333	1	111487	333	0	5644	5978	130.45	127.49
Participant611	Y	Timeline4	P1Sa+10s	1	P1Sa	i++	458	458	458	458	1	3092	458	458	458	458	458	1	3092	458	458	458	458	458	1	138364	458	492	492	492	492	1	138330	492	0	3058	3550	116.18	339.72
Participant611	Y	Timeline4	P1Sa+10s	1	P1Sa	i<x;	2475	275	125	492	9	1059	125	2350	294	192	492	8	1234	283	2600	650	225	1075	4	136331	458	2750	687	267	1108	4	136289	500	4	1017	1517	217.45	135.97
Participant611	Y	Timeline4	P1Sa+10s	1	P1Sa	int i = 0;	775	194	117	392	4	900	117	658	219	125	392	3	1558	392	775	194	117	392	4	136172	117	883	221	117	433	4	136172	117	0	1517	1017	135.97	217.45
Participant611	Y	Timeline4	P1Sa+10s	1	P1Sa	L01-F	1150	144	67	208	8	417	158	983	140	67	208	7	417	158	1391	696	350	1042	2	135689	350	1442	721	383	1058	2	135656	383	4	384		108.29	
Participant611	Y	Timeline4	P1Sa+10s	1	P1Sa	L02-F	3875	258	117	492	15	900	117	3633	279	125	492	13	1234	283	4266	1067	167	2650	4	136172	2650	4375	1094	200	2650	4	136172	2650	9	8891	3550	97.66	339.72
Participant611	Y	Timeline4	P1Sa+10s	1	P1Sa	L03-F	1700	212	67	375	8	3617	375	1208	201	67	375	6	3617	375	1850	617	233	1242	3	138889	1242	2000	667	275	1308	3	138822	1308	5	3550	8891	339.72	97.66
Participant611	Y	Timeline4	P1Sa+10s	1	P1Sa	L04-F	783	196	133	283	4	5233	167	617	206	133	283	3	5566	200	1142	1142	1142	1142	1	140505	1142	1142	1142	1142	1142	1	140505	1142	0		6375		173.07
Participant611	Y	Timeline4	P1Sa+10s	1	P1Sa	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant611	Y	Timeline4	P1Sa+10s	1	P1Sa	P1-Whole-F	7674	213	67	492	36	217	167	6608	220	67	492	30	217	167	9783	9783	9783	9783	1	135489	9783	9808	9808	9808	9808	1	135464	9808	23				
Participant611	Y	Timeline4	P1Sa+10s	1	P1Sa	value-L03	375	375	375	375	1	3617	375	375	375	375	375	1	3617	375	375	375	375	375	1	138889	375	442	442	442	442	1	138822	442	0	3550	3992	339.72	90.41
Participant611	Y	Timeline4	P1Sa+10s	1	P1Sa	value-L04	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P1Sa+10s	1	P1Sa	i++	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P1Sa+10s	1	P1Sa	i<x;	883	177	117	250	5	8387	192	633	158	117	192	4	8387	192	1088	363	192	492	3	168041	192	1121	374	200	500	3	168032	200	0		8579		37.17
Participant237	Y	Timeline5	P1Sa+10s	1	P1Sa	int i = 0;	2775	163	67	350	17	3612	225	1708	142	67	283	12	4371	67	3708	1854	958	2750	2	163266	958	3741	1871	958	2783	2	163266	958	4		7854		139.88
Participant237	Y	Timeline5	P1Sa+10s	1	P1Sa	L01-F	1492	166	75	442	9	446	117	1050	131	75	175	8	446	117	2233	1117	117	2116	2	160100	117	2308	1154	167	2141	2	160050	167	0				
Participant237	Y	Timeline5	P1Sa+10s	1	P1Sa	L02-F	3791	165	67	350	23	3612	225	2475	146	67	283	17	4371	67	5329	1332	192	4241	4	163266	4241	5363	1341	200	4241	4	163266	4241	4		7854		139.88
Participant237	Y	Timeline5	P1Sa+10s	1	P1Sa	L03-F	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P1Sa+10s	1	P1Sa	L04-F	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P1Sa+10s	1	P1Sa	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P1Sa+10s	1	P1Sa	P1-Whole-F	6041	155	67	442	39	254	83	4283	134	67	283	32	254	83	9746	9746	9746	9746	1	159908	9746	9812	9812	9812	9812	1	159841	9812	7				
Participant237	Y	Timeline5	P1Sa+10s	1	P1Sa	value-L03	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P1Sa+10s	1	P1Sa	value-L04	0	0			0			0	0			0			0	0			0							0			0				
Participant214	N	Timeline3	P1Sa+10s	1	P1Sa	i++	533	533	533	533	1	5212	533	0	0			0			533	533	533	533	1	125410	533	550	550	550	550	1	125394	550	0	5195		146.05	
Participant214	N	Timeline3	P1Sa+10s	1	P1Sa	i<x;	1617	269	192	533	6	3446	200	1617	269	192	533	6	3446	200	1750	1750	1750	1750	1	123644	1750	1767	1767	1767	1767	1	123627	1767	5		5195		146.05
Participant214	N	Timeline3	P1Sa+10s	1	P1Sa	int i = 0;	958	192	67	350	5	2254	67	608	152	67	242	4	2254	67	1058	1058	1058	1058	1	122452	1058	1067	1067	1067	1067	1	122444	1067	3				
Participant214	N	Timeline3	P1Sa+10s	1	P1Sa	L01-F	708	236	75	400	3	346	75	475	237	75	400	2	346	75	833	833	833	833	1	120544	833	883	883	883	883	1	120494	883	1				
Participant214	N	Timeline3	P1Sa+10s	1	P1Sa	L02-F	3708	247	67	533	15	1754	133	2641	220	67	533	12	1754	133	4341	4341	4341	4341	1	121952	4341	4366	4366	4366	4366	1	121927	4366	10	1729	6095	224.04	425.3
Participant214	N	Timeline3	P1Sa+10s	1	P1Sa	L03-F	917	306	225	408	3	6345	225	508	254	225	283	2	6345	225	950	475	225	725	2	126544	225	1008	504	258	750	2	126510	258	0	6312		204.49	
Participant214	N	Timeline3	P1Sa+10s	1	P1Sa	L04-F	0	0			0			0	0			0			0	0			0							0			0				
Participant214	N	Timeline3	P1Sa+10s	1	P1Sa	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant214	N	Timeline3	P1Sa+10s	1	P1Sa	P1-Whole-F	7741	228	67	533	34	346	75	5849	209	67	533	28	346	75	9654	9654	9654	9654	1	120544	9654	9704	9704	9704	9704	1	120494	9704	22				
Participant214	N	Timeline3	P1Sa+10s	1	P1Sa	value-L03	283	283	283	283	1	9637	283	283	283	283	283	1	9637	283	283	283	283	283	1	129835	283	300	300	300	300	1	129818	300	0				
Participant214	N	Timeline3	P1Sa+10s	1	P1Sa	value-L04	0	0			0			0	0			0			0	0			0							0			0				
Participant900	N	Timeline4	P1Sa+10s	1	P1Sa	i++	92	92	92	92	1	1521	92	92	92	92	92	1	1521	92	92	92	92	92	1	187932	92	125	125	125	125	1	187899	125	0				
Participant900	N	Timeline4	P1Sa+10s	1	P1Sa	i<x;	2588	259	83	542	10	3904	358	2175	242	83	542	9	3904	358	2955	739	267	1508	4	190315	1508	3071	768	292	1567	4	190257	1567	3	3846		150.88	
Participant900	N	Timeline4	P1Sa+10s	1	P1Sa	int i = 0;	1833	183	75	533	10	2637	75	1650	183	75	533	9	2637	75	1950	487	75	1058	4	189049	75	2025	506	92	1092	4	189032	92	6	8353	3746	122.76	74.89
Participant900	N	Timeline4	P1Sa+10s	1	P1Sa	L01-F	333	111	75	142	3	346	117	333	111	75	142	3	346	117	383	192	75	308	2	186757	308	442	221	92	350	2	186715	350	1	304	6487	247.85	66.13
Participant900	N	Timeline4	P1Sa+10s	1	P1Sa	L02-F	4730	206	75	542	23	1521	92	4133	197	75	542	21	1521	92	5730	819	267	1613	7	187932	400	5930	847	292	1647	7	187899	433	10	3846	1921	150.88	123.85
Participant900	N	Timeline4	P1Sa+10s	1	P1Sa	L03-F	0	0			0			0	0			0			0	0			0							0			0				
Participant900	N	Timeline4	P1Sa+10s	1	P1Sa	L04-F	0	0			0			0	0			0			0	0			0							0			0				
Participant900	N	Timeline4	P1Sa+10s	1	P1Sa	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant900	N	Timeline4	P1Sa+10s	1	P1Sa	P1-Whole-F	6325	181	67	542	35	0	146	5458	176	67	542	31	179	125	8717	2906	654	4171	3	186411	654	8792	2931	654	4213	3	186411	654	19	5787		179.14	
Participant900	N	Timeline4	P1Sa+10s	1	P1Sa	value-L03	0	0			0			0	0			0			0	0			0							0			0				
Participant900	N	Timeline4	P1Sa+10s	1	P1Sa	value-L04	0	0			0			0	0			0			0	0			0							0			0				
Participant758	N	Timeline5	P1Sa+10s	1	P1Sa	i++	175	87	83	92	2	3368	92	0	0			0			175	87	83	92	2	124539	92	217	108	92	125	2	124539	92	0				
Participant758	N	Timeline5	P1Sa+10s	1	P1Sa	i<x;	1018	113	67	218	9	0	218	683	98	67	192	7	3559	192	2118	706	192	1708	3	121171	218	2185	728	218	1733	3	121171	218	1				
Participant758	N	Timeline5	P1Sa+10s	1	P1Sa	int i = 0;	75	75	75	75	1	6309	75	75	75	75	75	1	6309	75	75	75	75	75	1	127481	75	83	83	83	83	1	127472	83	0				
Participant758	N	Timeline5	P1Sa+10s	1	P1Sa	L01-F	1841	167	67	317	11	426	83	1841	167	67	317	11	426	83	2225	1112	217	2008	2	121598	217	2258	1129	233	2025	2	121581	233	6				
Participant758	N	Timeline5	P1Sa+10s	1	P1Sa	L02-F	1268	106	67	218	12	0	218	758	95	67	192	8	3559	192	3451	863	75	2774	4	121171	218	3484	871	83	2799	4	121171	218	1				
Participant758	N	Timeline5	P1Sa+10s	1	P1Sa	L03-F	325	108	83	133	3	2110	108	325	108	83	133	3	2110	108	650	650	650	650	1	123281	650	708	708	708	708	1	123223	708	0		2760		86.08
Participant758	N	Timeline5	P1Sa+10s	1	P1Sa	L04-F	0	0			0			0	0			0			0	0			0							0			0				
Participant758	N	Timeline5	P1Sa+10s	1	P1Sa	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant758	N	Timeline5	P1Sa+10s	1	P1Sa	P1-Whole-F	3876	134	67	317	29	0	218	3208	134	67	317	24	426	83	10000	10000	10000	10000	1	121171	10000	10000	10000	10000	10000	1	121171	10000	9				
Participant758	N	Timeline5	P1Sa+10s	1	P1Sa	value-L03	0	0			0			0	0			0			0	0			0							0			0				
Participant758	N	Timeline5	P1Sa+10s	1	P1Sa	value-L04	0	0			0			0	0			0			0	0			0							0			0				
Participant323	N	Timeline3	P1Sa+10s	1	P1Sa	i++	1167	194	75	408	6	8188	142	1167	194	75	408	6	8188	142	1325	1325	1325	1325	1	142754	1325	1358	1358	1358	1358	1	142721	1358	3	8155		124.84	
Participant323	N	Timeline3	P1Sa+10s	1	P1Sa	i<x;	1250	208	75	533	6	6430	533	1250	208	75	533	6	6430	533	1725	1725	1725	1725	1	140996	1725	1758	1758	1758	1758	1	140963	1758	2	6397	8155	73.24	124.84
Participant323	N	Timeline3	P1Sa+10s	1	P1Sa	int i = 0;	1617	162	75	417	10	4122	108	1617	162	75	417	10	4122	108	2275	2275	2275	2275	1	138688	2275	2308	2308	2308	2308	1	138655	2308	5	4089	6397	175.66	73.24
Participant323	N	Timeline3	P1Sa+10s	1	P1Sa	L01-F	1542	171	67	733	9	459	83	1542	171	67	733	9	459	83	3196	3196	3196	3196	1	135025	3196	3255	3255	3255	3255	1	134967	3255	2	401		113.27	
