Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant100	Y	Timeline3	P1Sa+15s	1	P1Sa	i++	183	183	183	183	1	6544	183	183	183	183	183	1	6544	183	183	183	183	183	1	112387	183	208	208	208	208	1	112362	208	0	6519	6728	91.78	256.9
Participant100	Y	Timeline3	P1Sa+15s	1	P1Sa	i<x;	1075	215	83	483	5	8519	267	1075	215	83	483	5	8519	267	1142	381	267	483	3	114362	267	1250	417	283	517	3	114345	283	1	14502	12735	305.07	202.32
Participant100	Y	Timeline3	P1Sa+15s	1	P1Sa	int i = 0;	1425	204	92	350	7	3495	267	1242	207	92	350	6	3495	267	1583	396	108	1092	4	109337	267	1733	433	125	1142	4	109304	300	1	3461	3761	117.63	38.91
Participant100	Y	Timeline3	P1Sa+15s	1	P1Sa	L01-F	917	229	92	425	4	195	208	917	229	92	425	4	195	208	958	319	92	675	3	106038	675	1067	356	117	725	3	105988	725	1	145	870	289.82	104.38
Participant100	Y	Timeline3	P1Sa+15s	1	P1Sa	L02-F	3291	194	75	483	17	3495	267	3108	194	75	483	16	3495	267	3791	542	200	1450	7	109337	267	4008	573	225	1475	7	109304	300	4	3461	3761	117.63	38.91
Participant100	Y	Timeline3	P1Sa+15s	1	P1Sa	L03-F	425	212	158	267	2	4303	158	425	212	158	267	2	4303	158	442	442	442	442	1	110146	442	458	458	458	458	1	110129	458	1		4744		307.42
Participant100	Y	Timeline3	P1Sa+15s	1	P1Sa	L04-F	1283	183	83	292	7	5011	258	1133	189	83	292	6	5011	258	1825	912	533	1292	2	110854	1292	1917	958	583	1333	2	110812	1333	2	4969		327.13	
Participant100	Y	Timeline3	P1Sa+15s	1	P1Sa	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P1Sa+15s	1	P1Sa	P1-Whole-F	7981	195	40	483	41	195	208	7383	200	75	483	37	195	208	9956	1244	440	4691	8	106038	675	10306	1288	467	4725	8	105988	725	19	145	870	289.82	104.38
Participant100	Y	Timeline3	P1Sa+15s	1	P1Sa	value-L03	158	158	158	158	1	4303	158	158	158	158	158	1	4303	158	158	158	158	158	1	110146	158	175	175	175	175	1	110129	175	0		4461		103.01
