Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant819	N	Timeline1	P1Ca+05s	1	P1Ca	i++	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P1Ca+05s	1	P1Ca	i<x;	431	216	39	392	2	4319	392	0	0			0			681	681	681	681	1	130021	681	681	681	681	681	1	130021	681	0				
Participant819	N	Timeline1	P1Ca+05s	1	P1Ca	int i = 0;	1275	255	125	408	5	2786	275	750	250	125	408	3	3477	408	1483	1483	1483	1483	1	128488	1483	1516	1516	1516	1516	1	128454	1516	3	2752		160.45	
Participant819	N	Timeline1	P1Ca+05s	1	P1Ca	L01-F	1733	347	267	450	5	278	317	767	383	317	450	2	278	317	2008	2008	2008	2008	1	125979	2008	2075	2075	2075	2075	1	125913	2075	1		2286		127.29
Participant819	N	Timeline1	P1Ca+05s	1	P1Ca	L02-F	2148	268	39	442	8	2311	442	1192	298	125	442	4	2311	442	2689	2689	2689	2689	1	128013	2689	2714	2714	2714	2714	1	127988	2714	4	2286		127.29	
Participant819	N	Timeline1	P1Ca+05s	1	P1Ca	L03-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P1Ca+05s	1	P1Ca	L04-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P1Ca+05s	1	P1Ca	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P1Ca+05s	1	P1Ca	P1-Whole-F	3881	299	39	450	13	278	317	1958	326	125	450	6	278	317	4722	4722	4722	4722	1	125979	4722	4789	4789	4789	4789	1	125913	4789	6				
Participant819	N	Timeline1	P1Ca+05s	1	P1Ca	value-L03	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P1Ca+05s	1	P1Ca	value-L04	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P1Ca+05s	1	P1Ca	i++	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P1Ca+05s	1	P1Ca	i<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P1Ca+05s	1	P1Ca	int i = 0;	367	122	100	142	3	1322	142	125	125	125	125	1	2030	125	833	833	833	833	1	126738	833	858	858	858	858	1	126713	858	0				
Participant561	N	Timeline2	P1Ca+05s	1	P1Ca	L01-F	775	129	75	200	6	305	200	408	102	75	158	4	655	83	1092	546	167	925	2	125721	925	1108	554	183	925	2	125721	925	1				
Participant561	N	Timeline2	P1Ca+05s	1	P1Ca	L02-F	445	111	79	142	4	1322	142	125	125	125	125	1	2030	125	912	456	79	833	2	126738	833	987	493	129	858	2	126713	858	0				
Participant561	N	Timeline2	P1Ca+05s	1	P1Ca	L03-F	150	150	150	150	1	2930	150	0	0			0			150	150	150	150	1	128346	150	150	150	150	150	1	128346	150	0				
Participant561	N	Timeline2	P1Ca+05s	1	P1Ca	L04-F	342	85	67	133	4	2497	133	342	85	67	133	4	2497	133	592	296	233	358	2	127913	233	608	304	242	367	2	127904	242	1				
Participant561	N	Timeline2	P1Ca+05s	1	P1Ca	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P1Ca+05s	1	P1Ca	P1-Whole-F	1854	109	67	200	17	305	200	1017	92	67	158	11	655	83	4178	2089	79	4100	2	125721	4100	4228	2114	129	4100	2	125721	4100	2				
Participant561	N	Timeline2	P1Ca+05s	1	P1Ca	value-L03	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P1Ca+05s	1	P1Ca	value-L04	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P1Ca+05s	1	P1Ca	i++	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P1Ca+05s	1	P1Ca	i<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P1Ca+05s	1	P1Ca	int i = 0;	867	144	83	217	6	2113	217	867	144	83	217	6	2113	217	950	238	83	408	4	97679	358	1017	254	100	433	4	97662	375	0	3271	3380	30.59	89.09
Participant645	Y	Timeline1	P1Ca+05s	1	P1Ca	L01-F	1800	200	75	417	9	197	108	1800	200	75	417	9	197	108	1941	324	75	967	6	95762	967	2083	347	92	1000	6	95729	1000	2	1688	1163	40.92	51.62
Participant645	Y	Timeline1	P1Ca+05s	1	P1Ca	L02-F	1150	144	83	217	8	1205	158	1150	144	83	217	8	1205	158	1467	293	83	717	5	96770	158	1575	315	100	733	5	96729	200	0	1163	3380	51.62	89.09
Participant645	Y	Timeline1	P1Ca+05s	1	P1Ca	L03-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P1Ca+05s	1	P1Ca	L04-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P1Ca+05s	1	P1Ca	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P1Ca+05s	1	P1Ca	P1-Whole-F	3133	165	67	417	19	197	108	3133	165	67	417	19	197	108	4628	2314	1342	3287	2	95762	1342	4687	2343	1375	3312	2	95729	1375	6	1688	1538	40.92	41.81
Participant645	Y	Timeline1	P1Ca+05s	1	P1Ca	value-L03	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P1Ca+05s	1	P1Ca	value-L04	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P1Ca+05s	1	P1Ca	i++	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P1Ca+05s	1	P1Ca	i<x;	383	128	67	217	3	2318	67	383	128	67	217	3	2318	67	400	200	67	333	2	103962	67	433	217	83	350	2	103945	83	1				
Participant536	Y	Timeline2	P1Ca+05s	1	P1Ca	int i = 0;	858	172	108	300	5	1843	108	858	172	108	300	5	1843	108	1117	558	108	1008	2	103487	108	1158	579	133	1025	2	103462	133	2				
Participant536	Y	Timeline2	P1Ca+05s	1	P1Ca	L01-F	1167	194	75	250	6	434	75	875	219	200	250	4	818	200	1367	1367	1367	1367	1	102079	1367	1367	1367	1367	1367	1	102079	1367	4				
Participant536	Y	Timeline2	P1Ca+05s	1	P1Ca	L02-F	1242	155	67	300	8	1843	108	1242	155	67	300	8	1843	108	2033	2033	2033	2033	1	103487	2033	2058	2058	2058	2058	1	103462	2058	3				
Participant536	Y	Timeline2	P1Ca+05s	1	P1Ca	L03-F	542	108	67	150	5	218	108	217	108	67	150	2	4001	67	825	412	108	717	2	101862	108	850	425	108	742	2	101862	108	0				
Participant536	Y	Timeline2	P1Ca+05s	1	P1Ca	L04-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P1Ca+05s	1	P1Ca	L05-F	0	0			0			0	0			0			0	0			0							0			0				
