Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant100	Y	Timeline3	P1Sa+05s	1	P1Sa	i++	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P1Sa+05s	1	P1Sa	i<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P1Sa+05s	1	P1Sa	int i = 0;	267	267	267	267	1	3495	267	267	267	267	267	1	3495	267	267	267	267	267	1	109337	267	300	300	300	300	1	109304	300	0	3461	3761	117.63	38.91
Participant100	Y	Timeline3	P1Sa+05s	1	P1Sa	L01-F	633	317	208	425	2	195	208	633	317	208	425	2	195	208	675	675	675	675	1	106038	675	725	725	725	725	1	105988	725	1	145	870	289.82	104.38
Participant100	Y	Timeline3	P1Sa+05s	1	P1Sa	L02-F	467	233	200	267	2	3495	267	467	233	200	267	2	3495	267	467	233	200	267	2	109337	267	525	262	225	300	2	109304	300	0	3461	3761	117.63	38.91
Participant100	Y	Timeline3	P1Sa+05s	1	P1Sa	L03-F	425	212	158	267	2	4303	158	425	212	158	267	2	4303	158	442	442	442	442	1	110146	442	458	458	458	458	1	110129	458	1		4744		307.42
Participant100	Y	Timeline3	P1Sa+05s	1	P1Sa	L04-F	0	0			0			0	0			0			0	0			0			31	31	31	31	1	110812	31	0				
Participant100	Y	Timeline3	P1Sa+05s	1	P1Sa	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P1Sa+05s	1	P1Sa	P1-Whole-F	2475	225	92	425	11	195	208	2475	225	92	425	11	195	208	2830	1415	675	2155	2	106038	675	2914	1457	725	2189	2	105988	725	8	145	870	289.82	104.38
Participant100	Y	Timeline3	P1Sa+05s	1	P1Sa	value-L03	158	158	158	158	1	4303	158	158	158	158	158	1	4303	158	158	158	158	158	1	110146	158	175	175	175	175	1	110129	175	0		4461		103.01
