Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	i++	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	i<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	int i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	L01-F	1000	167	83	325	6	707	158	1000	167	83	325	6	707	158	1075	215	83	517	5	260090	158	1125	225	100	525	5	260081	167	1	3165	2048	48.9	57.97
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	L02-F	1286	117	27	225	11	3073	92	708	118	67	225	6	3073	92	3302	826	27	2325	4	262456	92	3344	836	44	2333	4	262440	108	1		3165		48.9
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	L03-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	L04-F	92	92	92	92	1	7240	92	92	92	92	92	1	7240	92	92	92	92	92	1	266623	92	200	200	200	200	1	266514	200	0				
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	L06-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	L07-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	L08-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	L09-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	L10-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	L11-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	L12-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	L13-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	n-L02	119	60	27	92	2	3073	92	92	92	92	92	1	3073	92	119	60	27	92	2	262456	92	152	76	44	108	2	262440	108	0		3165		48.9
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	n-L10a	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	n-L10b	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	n-L13	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+10s	1	P2Sa	P2-Whole-F	2852	130	27	325	22	90	125	2275	134	67	325	17	90	125	8593	2864	775	6477	3	259473	775	8643	2881	808	6485	3	259440	808	4				
