Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	Ai++	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	Ai<x;	83	83	83	83	1	92	83	83	83	83	83	1	92	83	83	83	83	83	1	410492	83	100	100	100	100	1	410476	100	0		176		155.69
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	Aint i = 0;	767	110	67	158	7	7275	92	767	110	67	158	7	7275	92	1450	725	258	1192	2	417675	258	1617	808	300	1317	2	417633	300	0	7233		59.85	
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	Bi++	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	Bi<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	Bint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	Ci++	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	Ci<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	Cint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	j-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	j-L07	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	j-L11	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	L01-F	1267	141	67	225	9	426	150	1192	149	67	225	8	426	150	2700	540	150	1475	5	410826	150	2800	560	167	1500	5	410809	167	1				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	L02-F	283	142	92	192	2	1517	92	283	142	92	192	2	1517	92	283	142	92	192	2	411917	92	342	171	125	217	2	411884	125	0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	L03-F	850	106	67	158	8	92	83	850	106	67	158	8	92	83	1608	536	83	1267	3	410492	83	1792	597	100	1392	3	410476	100	0	7233	176	59.85	155.69
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	L04-F	83	83	83	83	1	7625	83	83	83	83	83	1	7625	83	83	83	83	83	1	418025	83	142	142	142	142	1	417967	142	0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	L06-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	L07-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	L08-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	L09-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	L10-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	L11-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	L12-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	L13-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+10s	1	P3Ca	L14-F	0	0			0			0	0			0			0	0			0							0			0				
