Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant819	N	Timeline1	P1Ca+15s	1	P1Ca	i++	1375	229	75	383	6	6394	383	1375	229	75	383	6	6394	383	1608	536	75	1383	3	132096	1383	1733	578	83	1425	3	132054	1425	2	6352	12035	376.4	96.78
Participant819	N	Timeline1	P1Ca+15s	1	P1Ca	i<x;	1858	310	100	525	6	4319	392	1466	293	100	525	5	4961	525	2116	529	167	1275	4	130021	1275	2216	554	217	1275	4	130021	1275	1	12035	5594	96.78	196.89
Participant819	N	Timeline1	P1Ca+15s	1	P1Ca	int i = 0;	1542	220	92	408	7	2786	275	1017	203	92	408	5	3477	408	1750	583	92	1483	3	128488	1483	1808	603	108	1516	3	128454	1516	3	2752	13135	160.45	119.52
Participant819	N	Timeline1	P1Ca+15s	1	P1Ca	L01-F	3058	235	125	450	13	278	317	1916	213	125	450	9	278	317	3550	1183	725	2008	3	125979	2008	3700	1233	758	2075	3	125913	2075	6	5594	2286	196.89	127.29
Participant819	N	Timeline1	P1Ca+15s	1	P1Ca	L02-F	5308	253	75	525	21	2311	442	4391	244	75	525	18	2311	442	6458	1076	75	3283	6	128013	3283	6674	1112	83	3308	6	127988	3308	8	2286	5594	127.29	196.89
Participant819	N	Timeline1	P1Ca+15s	1	P1Ca	L03-F	1465	183	92	533	8	8085	92	383	96	92	100	4	8085	92	1932	644	100	1583	3	133787	1583	2082	694	167	1650	3	133720	1650	1	8019	10210	391.66	54.16
Participant819	N	Timeline1	P1Ca+15s	1	P1Ca	L04-F	1175	131	67	225	9	10227	100	775	129	67	225	6	10227	100	1541	514	225	825	3	135928	492	1616	539	242	867	3	135912	508	3	10210	10718	54.16	124.99
Participant819	N	Timeline1	P1Ca+15s	1	P1Ca	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P1Ca+15s	1	P1Ca	P1-Whole-F	11131	214	67	533	52	278	317	7591	200	67	525	38	278	317	14722	14722	14722	14722	1	125979	14722	14789	14789	14789	14789	1	125913	14789	27				
Participant819	N	Timeline1	P1Ca+15s	1	P1Ca	value-L03	192	96	92	100	2	8427	92	192	96	92	100	2	8427	92	192	96	92	100	2	134129	92	283	142	117	167	2	134104	117	0		10210		54.16
Participant819	N	Timeline1	P1Ca+15s	1	P1Ca	value-L04	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P1Ca+15s	1	P1Ca	i++	342	342	342	342	1	10512	342	342	342	342	342	1	10512	342	342	342	342	342	1	135928	342	350	350	350	350	1	135920	350	0				
Participant561	N	Timeline2	P1Ca+15s	1	P1Ca	i<x;	142	142	142	142	1	10912	142	142	142	142	142	1	10912	142	142	142	142	142	1	136328	142	158	158	158	158	1	136312	158	0				
Participant561	N	Timeline2	P1Ca+15s	1	P1Ca	int i = 0;	617	154	100	250	4	1322	142	375	187	125	250	2	2030	125	1083	542	250	833	2	126738	833	1125	562	267	858	2	126713	858	0	9412	9679	46.86	167.33
