Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	Ai++	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	Ai<x;	150	75	67	83	2	92	83	150	75	67	83	2	92	83	150	75	67	83	2	410492	83	233	117	100	133	2	410476	100	0		176		155.69
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	Aint i = 0;	976	98	59	158	10	7275	92	916	102	67	158	9	7275	92	2134	533	59	1192	4	417675	258	2326	581	76	1317	4	417633	300	0	7233		59.85	
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	Bi++	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	Bi<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	Bint i = 0;	167	167	167	167	1	13966	167	167	167	167	167	1	13966	167	167	167	167	167	1	424366	167	200	200	200	200	1	424333	200	0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	Ci++	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	Ci<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	Cint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	j-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	j-L07	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	j-L11	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	L01-F	1267	141	67	225	9	426	150	1192	149	67	225	8	426	150	2700	540	150	1475	5	410826	150	2800	560	167	1500	5	410809	167	1				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	L02-F	500	167	92	217	3	1517	92	500	167	92	217	3	1517	92	500	167	92	217	3	411917	92	575	192	125	233	3	411884	125	0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	L03-F	1126	94	59	158	12	92	83	1066	97	67	158	11	92	83	2600	520	59	1575	5	410492	83	2809	562	76	1700	5	410476	100	0	7233	176	59.85	155.69
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	L04-F	825	103	67	150	8	7625	83	825	103	67	150	8	7625	83	1783	594	83	1341	3	418025	83	1883	628	142	1358	3	417967	142	1				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	L06-F	167	167	167	167	1	14158	167	167	167	167	167	1	14158	167	167	167	167	167	1	424558	167	175	175	175	175	1	424549	175	0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	L07-F	400	133	67	167	3	13616	67	400	133	67	167	3	13616	67	517	517	517	517	1	424016	517	525	525	525	525	1	424008	525	1				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	L08-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	L09-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	L10-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	L11-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	L12-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	L13-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	L14-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	L15-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	L16-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	L17-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	numbers-L01	283	142	133	150	2	426	150	283	142	133	150	2	426	150	283	142	133	150	2	410826	150	325	162	158	167	2	410809	167	0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	numbers-L03	67	67	67	67	1	10241	67	67	67	67	67	1	10241	67	67	67	67	67	1	420641	67	133	133	133	133	1	420575	133	0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	numbers-L04	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	numbers-L06	167	167	167	167	1	14158	167	167	167	167	167	1	14158	167	167	167	167	167	1	424558	167	175	175	175	175	1	424549	175	0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	numbers-L08	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	numbers-L09a	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	numbers-L09b	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	numbers-L10	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	numbers-L15	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	numbers-L16	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	P3-Whole-F	5125	114	59	225	45	92	83	4991	116	67	225	43	92	83	14908	14908	14908	14908	1	410492	14908	14924	14924	14924	14924	1	410476	14924	7				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	temp-L08	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca+15s	1	P3Ca	temp-L10	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	Ai++	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	Ai<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	Aint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	Bi++	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	Bi<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	Bint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	Ci++	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	Ci<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	Cint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	j-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	j-L07	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	j-L11	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	L01-F	1208	201	100	383	6	43	100	1208	201	100	383	6	43	100	1592	796	633	958	2	304688	958	1633	817	667	967	2	304679	967	1		1001		38.97
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	L02-F	7258	234	17	592	31	5984	275	6108	244	67	592	25	5984	275	8366	4183	817	7550	2	310629	817	8433	4216	842	7591	2	310604	842	19				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	L03-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	L04-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	L06-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	L07-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	L08-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	L09-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	L10-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	L11-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	L12-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	L13-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	L14-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	L15-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	L16-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	L17-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	numbers-L01	775	194	100	383	4	43	100	775	194	100	383	4	43	100	858	286	100	633	3	304688	100	917	306	108	667	3	304679	108	0		776		125.28
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	numbers-L03	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	numbers-L04	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	numbers-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	numbers-L08	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	numbers-L09a	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	numbers-L09b	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	numbers-L10	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	numbers-L15	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	numbers-L16	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	P3-Whole-F	10066	224	17	592	45	43	100	8424	228	67	592	37	43	100	12141	4047	633	10549	3	304688	958	12249	4083	667	10616	3	304679	967	23	4384	1001	269.92	38.97
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	temp-L08	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P3Ca+15s	1	P3Ca	temp-L10	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	Ai++	183	183	183	183	1	12808	183	183	183	183	183	1	12808	183	183	183	183	183	1	652252	183	200	200	200	200	1	652235	200	0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	Ai<x;	1558	223	83	375	7	8158	292	1350	225	83	375	6	8158	292	2183	728	517	867	3	647602	517	2283	761	533	900	3	647586	533	1	8142	8675	140.05	68.12
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	Aint i = 0;	1808	226	108	475	8	5575	183	1808	226	108	475	8	5575	183	1900	475	142	933	4	645019	183	1983	496	150	942	4	644986	217	3	5542	8142	160.7	140.05
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	Bi++	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	Bi<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	Bint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	Ci++	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	Ci<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	Cint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	j-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	j-L07	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	j-L11	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	L01-F	1217	203	100	342	6	318	342	1217	203	100	342	6	318	342	1300	433	217	550	3	639761	533	1366	455	242	567	3	639736	558	3	293	851	212.92	33.56
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	L02-F	3233	190	83	450	17	59	108	3233	190	83	450	17	59	108	3916	435	108	1242	9	639503	233	4125	458	125	1258	9	639461	275	5	8675	293	68.12	212.92
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	L03-F	3992	210	67	475	19	5575	183	3466	217	83	475	16	5575	183	4867	695	142	1467	7	645019	1058	5058	723	150	1475	7	644986	1092	7	5542	8675	160.7	68.12
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	L04-F	208	208	208	208	1	13791	208	0	0			0			208	208	208	208	1	653235	208	208	208	208	208	1	653235	208	0		14000		68.61
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	L06-F	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	L07-F	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	L08-F	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	L09-F	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	L10-F	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	L11-F	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	L12-F	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	L13-F	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	L14-F	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	L15-F	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	L16-F	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	L17-F	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	numbers-L01	758	253	200	342	3	318	342	758	253	200	342	3	318	342	758	253	200	342	3	639761	342	842	281	233	367	3	639736	367	0	293	659	212.92	58.99
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	numbers-L03	900	225	83	375	4	8158	292	900	225	83	375	4	8158	292	900	225	83	375	4	647602	292	1008	252	133	400	4	647586	308	0	8142	8450	140.05	204.3
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	numbers-L04	208	208	208	208	1	13791	208	0	0			0			208	208	208	208	1	653235	208	208	208	208	208	1	653235	208	0		14000		68.61
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	numbers-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	numbers-L08	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	numbers-L09a	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	numbers-L09b	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	numbers-L10	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	numbers-L15	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	numbers-L16	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	P3-Whole-F	10241	197	67	475	52	59	108	8849	201	83	475	44	59	108	13566	3391	1533	4508	4	639503	1533	13716	3429	1575	4566	4	639461	1575	25	2067	1592	302.16	63.08
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	temp-L08	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P3Ca+15s	1	P3Ca	temp-L10	0	0			0			0	0			0			0	0			0							0			0				
Participant611	Y	Timeline4	P3Ca+15s	1	P3Ca	Ai++	283	283	283	283	1	8116	283	283	283	283	283	1	8116	283	283	283	283	283	1	312889	283	317	317	317	317	1	312855	317	0	8083	8400	79.33	103.97
Participant611	Y	Timeline4	P3Ca+15s	1	P3Ca	Ai<x;	884	295	275	325	3	0	275	608	304	283	325	2	13308	325	884	295	275	325	3	304772	275	967	322	275	383	3	304772	275	0	13249	14699	145.37	104.06
Participant611	Y	Timeline4	P3Ca+15s	1	P3Ca	Aint i = 0;	433	144	133	167	3	1567	133	300	150	133	167	2	1567	133	433	144	133	167	3	306339	133	558	186	167	217	3	306306	167	0	1534		161.06	
Participant611	Y	Timeline4	P3Ca+15s	1	P3Ca	Bi++	0	0			0			0	0			0			0	0			0							0			0				
Participant611	Y	Timeline4	P3Ca+15s	1	P3Ca	Bi<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant611	Y	Timeline4	P3Ca+15s	1	P3Ca	Bint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant611	Y	Timeline4	P3Ca+15s	1	P3Ca	Ci++	0	0			0			0	0			0			0	0			0							0			0				
Participant611	Y	Timeline4	P3Ca+15s	1	P3Ca	Ci<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant611	Y	Timeline4	P3Ca+15s	1	P3Ca	Cint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant611	Y	Timeline4	P3Ca+15s	1	P3Ca	j-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant611	Y	Timeline4	P3Ca+15s	1	P3Ca	j-L07	0	0			0			0	0			0			0	0			0							0			0				
Participant611	Y	Timeline4	P3Ca+15s	1	P3Ca	j-L11	0	0			0			0	0			0			0	0			0							0			0				
Participant611	Y	Timeline4	P3Ca+15s	1	P3Ca	L01-F	0	0			0			0	0			0			0	0			0							0			0				
Participant611	Y	Timeline4	P3Ca+15s	1	P3Ca	L02-F	250	125	67	183	2	625	183	250	125	67	183	2	625	183	250	125	67	183	2	305398	183	283	142	83	200	2	305381	200	0		13249		145.37
Participant611	Y	Timeline4	P3Ca+15s	1	P3Ca	L03-F	1984	220	133	325	9	0	275	1575	225	133	325	7	1342	192	2109	351	275	458	6	304772	275	2359	393	275	500	6	304772	275	2	6850	8400	209.91	103.97
Participant611	Y	Timeline4	P3Ca+15s	1	P3Ca	L04-F	4691	180	75	367	26	342	133	4183	182	75	367	23	342	133	6183	687	117	2033	9	305115	133	6449	717	142	2050	9	305106	142	9	8400	7658	103.97	115.89
