Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	i++	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	i<x;	133	67	67	67	2	12397	67	67	67	67	67	1	13247	67	133	67	67	67	2	271780	67	142	71	67	75	2	271780	67	0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	int i = 0;	92	92	92	92	1	11639	92	92	92	92	92	1	11639	92	92	92	92	92	1	271022	92	150	150	150	150	1	270964	150	0	11581		113.63	
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	L01-F	1000	167	83	325	6	707	158	1000	167	83	325	6	707	158	1075	215	83	517	5	260090	158	1125	225	100	525	5	260081	167	1	3165	2048	48.9	57.97
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	L02-F	1383	126	67	225	11	3073	92	833	119	67	225	7	3073	92	3400	850	92	2325	4	262456	92	3441	860	108	2333	4	262440	108	1		3165		48.9
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	L03-F	450	225	183	267	2	10597	183	450	225	183	267	2	10597	183	525	525	525	525	1	269980	525	550	550	550	550	1	269955	550	1		11122		220.78
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	L04-F	92	92	92	92	1	7240	92	92	92	92	92	1	7240	92	92	92	92	92	1	266623	92	200	200	200	200	1	266514	200	0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	L05-F	300	75	67	92	4	11506	75	158	79	67	92	2	11639	92	358	119	67	225	3	270889	225	367	122	67	225	3	270889	225	1				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	L06-F	100	100	100	100	1	13947	100	100	100	100	100	1	13947	100	100	100	100	100	1	273330	100	117	117	117	117	1	273313	117	0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	L07-F	186	186	186	186	1	14814	186	0	0			0			186	186	186	186	1	274197	186	220	220	220	220	1	274163	220	0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	L08-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	L09-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	L10-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	L11-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	L12-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	L13-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	n-L02	217	108	92	125	2	3073	92	217	108	92	125	2	3073	92	217	108	92	125	2	262456	92	250	125	108	142	2	262440	108	0		3165		48.9
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	n-L10a	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	n-L10b	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	n-L13	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	P2-Whole-F	4794	130	67	325	37	90	125	3541	131	67	325	27	90	125	13593	4531	775	11477	3	259473	775	13643	4548	808	11485	3	259440	808	7				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	total-L02	875	125	67	225	7	4423	117	617	123	67	225	5	4423	117	1767	589	408	708	3	263806	708	1817	606	408	717	3	263798	717	0	8556		161.19	
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	total-L07a	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	total-L07b	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	total-L13	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	values-L01	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	values-L05	67	67	67	67	1	13247	67	67	67	67	67	1	13247	67	67	67	67	67	1	272630	67	75	75	75	75	1	272622	75	0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	values-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa+15s	1	P2Sa	values-L07	186	186	186	186	1	14814	186	0	0			0			186	186	186	186	1	274197	186	220	220	220	220	1	274163	220	0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	i++	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	i<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	int i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	L01-F	3283	234	83	492	14	499	117	2525	230	83	492	11	499	117	3741	1247	133	3008	3	178043	600	3816	1272	175	3025	3	178027	617	9	3790	1099	204.44	143.77
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	L02-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	L03-F	1608	230	108	442	7	7490	108	1608	230	108	442	7	7490	108	1816	908	400	1416	2	185034	400	1900	950	442	1458	2	184993	442	4	8998	7890	350.89	298.4
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	L04-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	L06-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	L07-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	L08-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	L09-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	L10-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	L11-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	L12-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	L13-F	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	n-L02	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	n-L10a	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	n-L10b	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	n-L13	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	P2-Whole-F	9190	200	67	492	46	0	174	7841	196	67	492	40	499	117	12267	6133	1099	11168	2	177545	1099	12309	6154	1099	11210	2	177545	1099	27	3790	1099	204.44	143.77
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	total-L02	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	total-L07a	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	total-L07b	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	total-L13	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	values-L01	850	212	133	342	4	899	200	675	225	133	342	3	899	200	850	212	133	342	4	178443	200	1000	250	175	392	4	178402	242	0	857	1099	207.25	143.77
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	values-L05	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	values-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant536	Y	Timeline2	P2Sa+15s	1	P2Sa	values-L07	0	0			0			0	0			0			0	0			0							0			0				
Participant611	Y	Timeline4	P2Sa+15s	1	P2Sa	i++	83	83	83	83	1	7308	83	83	83	83	83	1	7308	83	83	83	83	83	1	233030	83	150	150	150	150	1	232963	150	0	7241		109.19	
Participant611	Y	Timeline4	P2Sa+15s	1	P2Sa	i<x;	1342	192	83	350	7	6608	167	1233	206	83	350	6	6608	167	1550	517	392	633	3	232330	633	1633	544	433	642	3	232322	642	3	11816	7241	114.83	109.19
Participant611	Y	Timeline4	P2Sa+15s	1	P2Sa	int i = 0;	808	162	100	208	5	5616	100	808	162	100	208	5	5616	100	967	483	100	867	2	231338	867	1001	334	10	875	3	231330	875	2				
Participant611	Y	Timeline4	P2Sa+15s	1	P2Sa	L01-F	1350	225	125	558	6	392	142	1350	225	125	558	6	392	142	1441	360	125	758	4	226114	142	1642	410	192	792	4	226064	192	1	342	1408	255.79	258.11
Participant611	Y	Timeline4	P2Sa+15s	1	P2Sa	L02-F	2491	192	75	433	13	633	75	2333	194	75	433	12	633	75	3050	381	183	908	8	226356	317	3341	418	225	925	8	226339	333	1	1408	950	258.11	232.39
Participant611	Y	Timeline4	P2Sa+15s	1	P2Sa	L03-F	717	143	108	242	5	233	108	717	143	108	242	5	233	108	783	261	108	558	3	225956	108	900	300	158	567	3	225906	158	2	184	342	239.9	255.79
Participant611	Y	Timeline4	P2Sa+15s	1	P2Sa	L04-F	0	0			0			0	0			0			0	0			0							0			0				
Participant611	Y	Timeline4	P2Sa+15s	1	P2Sa	L05-F	2233	172	83	350	13	5616	100	2125	177	83	350	12	5616	100	3166	1583	575	2591	2	231338	2591	3226	1075	10	2600	3	231330	2600	6	11816	8208	114.83	313.5
Participant611	Y	Timeline4	P2Sa+15s	1	P2Sa	L06-F	467	156	133	183	3	12657	150	467	156	133	183	3	12657	150	600	600	600	600	1	238379	600	633	633	633	633	1	238346	633	1				
