Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant561	N	Timeline2	P3Ca	1	P3Ca	Ai++	367	122	75	200	3	53245	75	367	122	75	200	3	53245	75	367	122	75	200	3	463645	75	442	147	92	217	3	463629	92	0	53229		38.74	
Participant561	N	Timeline2	P3Ca	1	P3Ca	Ai<x;	4592	118	34	408	39	92	83	4408	122	67	408	36	92	83	7342	294	34	2341	25	410492	83	8209	328	51	2391	25	410476	100	3	22882	176	34.38	155.69
Participant561	N	Timeline2	P3Ca	1	P3Ca	Aint i = 0;	5016	122	67	342	41	7275	92	4874	125	67	342	39	7275	92	7974	420	67	1675	19	417675	258	8507	448	75	1683	19	417633	300	2	7233	45063	59.85	31.43
Participant561	N	Timeline2	P3Ca	1	P3Ca	Bi++	375	94	75	108	4	28923	108	267	89	75	108	3	28923	108	375	94	75	108	4	439323	108	417	104	92	117	4	439314	117	0		91200		31.24
Participant561	N	Timeline2	P3Ca	1	P3Ca	Bi<x;	1992	142	67	375	14	28506	100	1742	134	67	375	13	28506	100	3383	376	67	2175	9	438906	100	3625	403	75	2183	9	438840	167	1	28440		262.3	
Participant561	N	Timeline2	P3Ca	1	P3Ca	Bint i = 0;	3033	144	67	408	21	13966	167	2541	149	67	408	17	13966	167	3458	247	75	783	14	424366	167	3666	262	92	800	14	424333	200	3	83859		31.54	
Participant561	N	Timeline2	P3Ca	1	P3Ca	Ci++	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca	1	P3Ca	Ci<x;	233	117	108	125	2	37489	125	233	117	108	125	2	37489	125	233	117	108	125	2	447889	125	250	125	117	133	2	447880	133	0				
Participant561	N	Timeline2	P3Ca	1	P3Ca	Cint i = 0;	167	83	67	100	2	38164	100	167	83	67	100	2	38164	100	167	83	67	100	2	448564	100	192	96	75	117	2	448547	117	0				
Participant561	N	Timeline2	P3Ca	1	P3Ca	j-L06	808	135	67	217	6	25806	67	808	135	67	217	6	25806	67	1008	202	92	408	5	436206	408	1108	222	100	425	5	436190	425	0	131118	29956	39.86	36.8
Participant561	N	Timeline2	P3Ca	1	P3Ca	j-L07	1075	134	67	250	8	28506	100	825	118	67	183	7	28506	100	1342	192	67	600	7	438906	100	1533	219	75	608	7	438840	167	0	28440	89175	262.3	41.62
Participant561	N	Timeline2	P3Ca	1	P3Ca	j-L11	417	208	200	217	2	35072	200	200	200	200	200	1	35072	200	417	208	200	217	2	445472	200	433	217	217	217	2	445456	217	0		35272		37.03
Participant561	N	Timeline2	P3Ca	1	P3Ca	L01-F	2975	124	67	225	24	426	150	2675	127	67	225	21	426	150	5949	425	100	1475	14	410826	150	6358	454	142	1508	14	410809	167	2	63011	28440	206.89	262.3
Participant561	N	Timeline2	P3Ca	1	P3Ca	L02-F	3541	122	67	425	29	1517	92	3441	123	67	425	28	1517	92	4349	189	67	750	23	411917	92	4908	213	83	775	23	411884	125	2	42796	22882	62.21	34.38
Participant561	N	Timeline2	P3Ca	1	P3Ca	L03-F	10066	120	34	408	84	92	83	9740	123	67	408	79	92	83	18316	470	67	3333	39	410492	83	19482	500	75	3350	39	410476	100	7	7233	176	59.85	155.69
Participant561	N	Timeline2	P3Ca	1	P3Ca	L04-F	9799	142	67	342	69	7625	83	9641	142	67	342	68	7625	83	14307	376	67	1700	38	418025	83	15365	404	75	1766	38	417967	142	8	15382	15282	39.99	38.11
Participant561	N	Timeline2	P3Ca	1	P3Ca	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P3Ca	1	P3Ca	L06-F	5091	121	67	242	42	14158	167	4400	119	67	217	37	14158	167	7158	231	67	1017	31	424558	167	7666	247	83	1033	31	424549	175	0	36364	29956	38.43	36.8
