Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	Ai++	400	400	400	400	1	10574	400	400	400	400	400	1	10574	400	400	400	400	400	1	423193	400	417	417	417	417	1	423177	417	0	10557	10974	173.64	203.87
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	Ai<x;	725	181	117	233	4	9766	117	392	196	158	233	2	10399	158	1026	513	235	792	2	422385	792	1076	538	285	792	2	422385	792	0	14715	10557	311.52	173.64
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	Aint i = 0;	2583	215	75	517	12	5733	75	1400	200	83	517	7	6325	200	3008	752	75	2033	4	418352	75	3150	787	142	2058	4	418285	142	5	5666	8733	454.71	86.2
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	Bi++	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	Bi<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	Bint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	Ci++	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	Ci<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	Cint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	j-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	j-L07	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	j-L11	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	L01-F	2900	193	92	525	15	1108	142	2591	185	92	525	14	1108	142	3566	892	417	1975	4	413727	692	3700	925	433	2016	4	413686	733	7	1067	1800	186.5	95.8
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	L02-F	1183	169	100	225	7	4191	183	858	172	100	225	5	4508	167	1383	461	142	1017	3	416811	1017	1475	492	192	1033	3	416794	1033	3	4175	5666	78.7	454.71
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	L03-F	4508	196	75	517	23	5733	75	2608	201	83	517	13	5858	92	5867	1956	235	5241	3	418352	5241	6009	2003	285	5308	3	418285	5308	9	5666	10974	454.71	203.87
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	L04-F	850	212	133	283	4	13790	200	850	212	133	283	4	13790	200	925	925	925	925	1	426410	925	958	958	958	958	1	426376	958	3	13757	14715	242.02	311.52
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	L06-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	L07-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	L08-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	L09-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	L10-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	L11-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	L12-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	L13-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	L14-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	L15-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	L16-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	L17-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	numbers-L01	533	178	142	225	3	1575	225	533	178	142	225	3	1575	225	708	354	225	483	2	414194	225	783	392	267	517	2	414152	267	0	1533	1800	279.82	95.8
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	numbers-L03	217	217	217	217	1	9899	217	0	0			0			217	217	217	217	1	422518	217	217	217	217	217	1	422518	217	0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	numbers-L04	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	numbers-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	numbers-L08	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	numbers-L09a	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	numbers-L09b	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	numbers-L10	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	numbers-L15	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	numbers-L16	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	P3-Whole-F	11216	190	75	525	59	50	108	8391	191	83	525	44	233	117	14950	14950	14950	14950	1	412669	14950	14975	14975	14975	14975	1	412644	14975	37				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	temp-L08	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+15s	1	P3Sa	temp-L10	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	Ai++	217	217	217	217	1	9636	217	217	217	217	217	1	9636	217	217	217	217	217	1	375836	217	258	258	258	258	1	375794	258	0	9595	9853	337.33	39.18
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	Ai<x;	175	175	175	175	1	12936	175	175	175	175	175	1	12936	175	175	175	175	175	1	379136	175	183	183	183	183	1	379127	183	0	12928	13111	45.93	229.2
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	Aint i = 0;	225	225	225	225	1	6878	225	225	225	225	225	1	6878	225	225	225	225	225	1	373078	225	258	258	258	258	1	373045	258	0	6845	7103	45.29	39.98
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	Bi++	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	Bi<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	Bint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	Ci++	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	Ci<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	Cint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	j-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	j-L07	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	j-L11	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	L01-F	3914	230	67	767	17	446	150	3591	257	92	767	14	446	150	4239	353	67	983	12	366645	150	4622	385	83	1017	12	366620	175	1	912	596	63.49	73.18
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	L02-F	575	287	225	350	2	5037	225	575	287	225	350	2	5037	225	575	287	225	350	2	371237	225	667	333	267	400	2	371195	267	0	4995	5262	106.17	80.73
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	L03-F	742	185	125	225	4	2787	125	742	185	125	225	4	2787	125	742	185	125	225	4	368987	125	867	217	167	258	4	368945	167	0	2745	2912	126.91	325.99
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	L04-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	L06-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	L07-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	L08-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	L09-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	L10-F	171	171	171	171	1	0	171	0	0			0			171	171	171	171	1	366200	171	171	171	171	171	1	366200	171	0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	L11-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	L12-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	L13-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	L14-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	L15-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	L16-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	L17-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	numbers-L01	275	137	125	150	2	446	150	275	137	125	150	2	446	150	275	137	125	150	2	366645	150	325	162	150	175	2	366620	175	0	912	596	63.49	73.18
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	numbers-L03	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	numbers-L04	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	numbers-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	numbers-L08	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	numbers-L09a	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	numbers-L09b	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	numbers-L10	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	numbers-L15	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	numbers-L16	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	P3-Whole-F	9801	218	67	767	45	0	171	9307	227	67	767	41	446	150	12200	1525	142	4358	8	366200	596	12359	1545	142	4375	8	366200	596	20	912	596	63.49	73.18
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	temp-L08	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+15s	1	P3Sa	temp-L10	171	171	171	171	1	0	171	0	0			0			171	171	171	171	1	366200	171	171	171	171	171	1	366200	171	0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	Ai++	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	Ai<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	Aint i = 0;	425	106	75	150	4	7490	108	333	111	75	150	3	7490	108	517	172	108	258	3	389277	108	575	192	142	267	3	389244	142	0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	Bi++	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	Bi<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	Bint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	Ci++	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	Ci<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	Cint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	j-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	j-L07	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	j-L11	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	L01-F	641	107	75	158	6	840	125	641	107	75	158	6	840	125	1841	921	825	1017	2	382628	1017	1958	979	908	1050	2	382595	1050	0	2857		283.8	
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	L02-F	1958	140	67	267	14	307	67	1700	131	67	267	13	307	67	2908	415	67	958	7	382095	67	3083	440	83	958	7	382078	83	2	8373	2857	32.19	283.8
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	L03-F	633	127	75	208	5	7198	208	542	135	75	208	4	7198	208	808	269	150	400	3	388986	400	850	283	167	417	3	388969	417	0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	L04-F	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	L06-F	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	L07-F	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	L08-F	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	L09-F	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	L10-F	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	L11-F	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	L12-F	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	L13-F	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	L14-F	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	L15-F	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	L16-F	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	L17-F	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	numbers-L01	83	83	83	83	1	1774	83	83	83	83	83	1	1774	83	83	83	83	83	1	383561	83	100	100	100	100	1	383544	100	0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	numbers-L03	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	numbers-L04	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	numbers-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	numbers-L08	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	numbers-L09a	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	numbers-L09b	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	numbers-L10	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	numbers-L15	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	numbers-L16	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	P3-Whole-F	7268	123	3	267	59	307	67	6516	125	67	267	52	307	67	14193	7096	3458	10735	2	382095	3458	14226	7113	3475	10751	2	382078	3475	14				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	temp-L08	0	0			0			0	0			0			0	0			0							0			0				
Participant237	Y	Timeline5	P3Sa+15s	1	P3Sa	temp-L10	0	0			0			0	0			0			0	0			0							0			0				
Participant758	N	Timeline5	P3Sa+15s	1	P3Sa	Ai++	0	0			0			0	0			0			0	0			0							0			0				
Participant758	N	Timeline5	P3Sa+15s	1	P3Sa	Ai<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant758	N	Timeline5	P3Sa+15s	1	P3Sa	Aint i = 0;	425	142	108	200	3	1787	117	425	142	108	200	3	1787	117	425	142	108	200	3	344826	117	475	158	125	217	3	344818	125	0	8620	6770	88.63	97.78
Participant758	N	Timeline5	P3Sa+15s	1	P3Sa	Bi++	267	133	67	200	2	129	67	67	67	67	67	1	129	67	267	133	67	200	2	343168	67	292	146	75	217	2	343159	75	0		196		133.27
Participant758	N	Timeline5	P3Sa+15s	1	P3Sa	Bi<x;	150	150	150	150	1	11136	150	0	0			0			150	150	150	150	1	354175	150	150	150	150	150	1	354175	150	0				
Participant758	N	Timeline5	P3Sa+15s	1	P3Sa	Bint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant758	N	Timeline5	P3Sa+15s	1	P3Sa	Ci++	0	0			0			0	0			0			0	0			0							0			0				
Participant758	N	Timeline5	P3Sa+15s	1	P3Sa	Ci<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant758	N	Timeline5	P3Sa+15s	1	P3Sa	Cint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant758	N	Timeline5	P3Sa+15s	1	P3Sa	j-L06	158	158	158	158	1	5645	158	158	158	158	158	1	5645	158	158	158	158	158	1	348684	158	192	192	192	192	1	348651	192	0	5612		69.72	
Participant758	N	Timeline5	P3Sa+15s	1	P3Sa	j-L07	0	0			0			0	0			0			0	0			0							0			0				
Participant758	N	Timeline5	P3Sa+15s	1	P3Sa	j-L11	0	0			0			0	0			0			0	0			0							0			0				
Participant758	N	Timeline5	P3Sa+15s	1	P3Sa	L01-F	0	0			0			0	0			0			0	0			0							0			0				
