Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	i++	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	i<x;	675	225	200	242	3	13880	233	675	225	200	242	3	13880	233	717	717	717	717	1	244949	717	778	389	28	750	2	244916	750	2		14597		89.12
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	int i = 0;	908	227	92	450	4	12514	92	625	312	175	450	2	12789	175	1142	1142	1142	1142	1	243582	1142	1167	1167	1167	1167	1	243557	1167	2	12489		130.82	
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	L01-F	3416	201	100	383	17	398	100	2975	198	100	383	15	398	100	4141	4141	4141	4141	1	231467	4141	4200	4200	4200	4200	1	231409	4200	13	340	4540	268.96	395.9
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	L02-F	2100	162	83	392	13	4590	108	1783	162	83	392	11	4590	108	2783	2783	2783	2783	1	235658	2783	2833	2833	2833	2833	1	235608	2833	8	4540	7373	395.9	386.66
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	L03-F	958	192	83	242	5	7423	208	958	192	83	242	5	7423	208	1117	1117	1117	1117	1	238491	1117	1167	1167	1167	1167	1	238441	1167	4	7373		386.66	
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	L04-F	2908	242	108	483	12	8714	200	2908	242	108	483	12	8714	200	3408	3408	3408	3408	1	239783	3408	3416	3416	3416	3416	1	239775	3416	10				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	L05-F	1983	220	92	450	9	232	108	1408	235	108	450	6	232	108	2508	1254	108	2400	2	231300	108	2561	854	28	2400	3	231275	133	5		340		268.96
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	L06-F	40	40	40	40	1	0	40	0	0			0			40	40	40	40	1	231069	40	40	40	40	40	1	231069	40	0				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	L07-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	L08-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	L09-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	L10-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	L11-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	L12-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	L13-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	n-L02	275	137	125	150	2	6598	125	275	137	125	150	2	6598	125	467	467	467	467	1	237666	467	483	483	483	483	1	237650	483	0		7064		100.2
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	n-L10a	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	n-L10b	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	n-L13	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	P2-Whole-F	11722	199	40	483	59	0	40	10349	203	83	483	51	232	108	15000	15000	15000	15000	1	231069	15000	15000	15000	15000	15000	1	231069	15000	45				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	total-L02	725	242	108	392	3	4590	108	725	242	108	392	3	4590	108	725	242	108	392	3	235658	108	833	278	158	417	3	235608	158	0	4540	4698	395.9	98.9
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	total-L07a	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	total-L07b	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	total-L13	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	values-L01	592	296	208	383	2	865	383	383	383	383	383	1	865	383	592	296	208	383	2	231934	383	658	329	233	425	2	231892	425	0	823	1248	130.5	125.72
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	values-L05	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	values-L06	40	40	40	40	1	0	40	0	0			0			40	40	40	40	1	231069	40	40	40	40	40	1	231069	40	0				
Participant819	N	Timeline1	P2Ca+15s	1	P2Ca	values-L07	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	i++	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	i<x;	167	167	167	167	1	0	167	0	0			0			167	167	167	167	1	186083	167	167	167	167	167	1	186083	167	0				
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	int i = 0;	292	146	133	158	2	13833	133	292	146	133	158	2	13833	133	367	367	367	367	1	199915	367	383	383	383	383	1	199898	383	0	13816		114.82	
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	L01-F	4641	186	108	358	25	384	167	4224	192	108	358	22	384	167	5449	681	133	1642	8	186467	892	5616	702	175	1650	8	186450	908	13	9441	3409	76.69	153.75
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	L02-F	1125	141	75	317	8	242	75	1125	141	75	317	8	242	75	1242	310	75	792	4	186325	75	1317	329	83	808	4	186317	83	4	5792	13649	51.62	199.64
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	L03-F	1042	174	92	267	6	10208	267	1042	174	92	267	6	10208	267	1167	233	92	542	5	196290	542	1350	270	142	583	5	196249	583	0	10166	10750	193.12	58.37
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	L04-F	1651	150	9	258	11	11133	217	1642	164	67	258	10	11133	217	2084	521	342	833	4	197215	342	2234	558	367	892	4	197190	367	3	11108	12666	65.31	173.54
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	L05-F	459	153	133	167	3	0	167	292	146	133	158	2	13833	133	534	267	167	367	2	186083	167	551	275	167	383	2	186083	167	0	13816		114.82	
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	L06-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	L07-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	L08-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	L09-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	L10-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	L11-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	L12-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	L13-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	n-L02	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	n-L10a	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P2Ca+15s	1	P2Ca	n-L10b	0	0			0			0	0			0			0	0			0							0			0				
